x,y
0,0
1,0.8414709848
2,0.9092974268
3,0.1411200081
4,-0.7568024953
5,-0.9589242747
6,-0.2794154982
7,0.6569865987
8,0.9893582466
9,0.4121184852
10,-0.5440211109
11,-0.9999902066
12,-0.536572918
13,0.4201670368
14,0.9906073557
15,0.6502878402
16,-0.2879033167
17,-0.9613974919
18,-0.7509872468
19,0.1498772097
20,0.9129452507
21,0.8366556385
22,-0.0088513093
23,-0.8462204042
24,-0.905578362
25,-0.1323517501
26,0.7625584505
27,0.9563759284
28,0.2709057883
29,-0.6636338842
30,-0.9880316241
31,-0.4040376453
32,0.5514266812
33,0.9999118601
34,0.5290826861
35,-0.4281826695
36,-0.9917788534
37,-0.6435381334
38,0.2963685787
39,0.9637953863
40,0.7451131605
41,-0.1586226688
42,-0.9165215479
43,-0.8317747426
44,0.0177019251
45,0.8509035245
46,0.9017883476
47,0.1235731227
48,-0.7682546613
49,-0.9537526528
50,-0.2623748537
51,0.6702291758
52,0.986627592
53,0.3959251502
54,-0.5587890489
55,-0.9997551734
56,-0.5215510021
57,0.4361647552
58,0.9928726481
59,0.6367380071
60,-0.3048106211
61,-0.96611777
62,-0.7391806966
63,0.1673557003
64,0.9200260382
65,0.8268286795
66,-0.026551154
67,-0.855519979
68,-0.8979276807
69,-0.1147848138
70,0.7738906816
71,0.9510546533
72,0.2538233628
73,-0.6767719569
74,-0.9851462605
75,-0.3877816354
76,0.5661076369
77,0.9995201586
78,0.513978456
79,-0.4441126687
80,-0.9938886539
81,-0.6298879943
82,0.3132287824
83,0.9683644611
84,0.7331903201
85,-0.1760756199
86,-0.923458447
87,-0.8218178366
88,0.0353983027
89,0.8600694058
90,0.8939966636
91,0.1059875118
92,-0.7794660696
93,-0.9482821413
94,-0.2452519855
95,0.6832617147
96,0.9835877454
97,0.379607739
98,-0.573381872
99,-0.9992068342
100,-0.5063656411
101,0.4520257872
102,0.9948267914
103,0.6229886314
104,-0.3216224032
105,-0.9705352835
106,-0.7271425001
107,0.1847817446
108,0.9268185054
109,0.8167426066
110,-0.0442426781
111,-0.8645514486
112,-0.8899956044
113,-0.0971819059
114,0.7849803887
115,0.945435334
116,0.2366613934
117,-0.6896979409
118,-0.981952169
119,-0.3714041014
120,0.5806111842
121,0.9988152247
122,0.4987131539
123,-0.4599034907
124,-0.9956869869
125,-0.6160404592
126,0.3299908257
127,0.9726300672
128,0.7210377105
129,-0.193473392
130,-0.9301059502
131,-0.8116033871
132,0.0530835871
133,0.8689657562
134,0.8859248165
135,0.0883686861
136,-0.7904332067
137,-0.9425144546
138,-0.2280522595
139,0.6960801312
140,0.9802396594
141,0.3631713654
142,-0.5877950072
143,-0.9983453609
144,-0.4910215939
145,0.467745162
146,0.9964691731
147,0.6090440219
148,-0.3383333943
149,-0.9746486481
150,-0.7148764296
151,0.2021498814
152,0.9333205237
153,0.8064005808
154,-0.0619203373
155,-0.8733119828
156,-0.8817846188
157,-0.0795485429
158,0.7958240965
159,0.9395197317
160,0.2194252584
161,-0.7024077856
162,-0.9784503508
163,-0.3549101758
164,0.594932778
165,0.9977972794
166,0.4832915637
167,-0.4755501869
168,-0.9971732888
169,-0.6019998677
170,0.3466494555
171,0.9765908679
172,0.7086591402
173,-0.2108105329
174,-0.9364619743
175,-0.8011345952
176,0.0707522361
177,0.8775897878
178,0.8775753358
179,0.0707221672
180,-0.8011526357
181,-0.9364514001
182,-0.2107810659
183,0.7086804082
184,0.9765843833
185,0.3466211801
186,-0.6020239376
187,-0.9971710234
188,-0.475523669
189,0.4833179537
190,0.9977992787
191,0.5949085485
192,-0.3549383577
193,-0.9784565746
194,-0.7023863293
195,0.219454668
196,0.9395300556
197,0.7958058429
198,-0.0795785917
199,-0.8817988361
200,-0.8732972972
201,-0.0618902507
202,0.8064184069
203,0.9333097002
204,0.2021203593
205,-0.7148975078
206,-0.9746419031
207,-0.3383050275
208,0.6090679302
209,0.9964666418
210,0.4677185183
211,-0.4910478539
212,-0.9983470938
213,-0.5877706198
214,0.3631994514
215,0.980245622
216,0.6960584883
217,-0.2280816094
218,-0.9425245273
219,-0.7904147415
220,0.0883987125
221,0.8859387979
222,0.8689508382
223,0.0530534853
224,-0.8116209974
225,-0.930094878
226,-0.1934438172
227,0.7210585971
228,0.9726230625
229,0.3299623697
230,-0.6160642041
231,-0.9956841898
232,-0.4598767232
233,0.4987392818
234,0.9988166912
235,0.580586641
236,-0.3714320894
237,-0.9819578698
238,-0.6896761132
239,0.2366906813
240,0.9454451549
241,0.7849617133
242,-0.0972119075
243,-0.8900093489
244,-0.8645362993
245,-0.0442125632
246,0.8167599996
247,0.9268071855
248,0.1847521192
249,-0.7271631934
250,-0.9705280195
251,-0.3215938603
252,0.623012211
253,0.9948237287
254,0.4519988981
255,-0.5063916349
256,-0.9992080341
257,-0.5733571748
258,0.3796356268
259,0.9835931839
260,0.6832397038
261,-0.2452812091
262,-0.9482917095
263,-0.7794471855
264,0.1060174863
265,0.8940101701
266,0.8600540265
267,0.0353681773
268,-0.821835011
269,-0.9234468802
270,-0.1760459465
271,0.7332108186
272,0.9683569384
273,0.3132001549
274,-0.6299114067
275,-0.9938853259
276,-0.44408566
277,0.5140043137
278,0.9995210918
279,0.5660827877
280,-0.3878094208
281,-0.9851514363
282,-0.6767497645
283,0.2538525198
284,0.9510639681
285,0.7738715902
286,-0.1148147588
287,-0.8979409481
288,-0.8555043708
289,-0.0265210203
290,0.8268456339
291,0.9200142255
292,0.167325981
293,-0.7392009988
294,-0.9661099893
295,-0.3047819111
296,0.6367612506
297,0.992869055
298,0.4361376291
299,-0.5215767216
300,-0.9997558399
301,-0.5587640496
302,0.395952831
303,0.9866325048
304,0.6702068038
305,-0.2624039419
306,-0.9537617135
307,-0.7682353642
308,0.123603036
309,0.901801375
310,0.8508876887
311,0.0176717855
312,-0.8317914758
313,-0.9165094902
314,-0.158592906
315,0.7451332646
316,0.9637873481
317,0.2963397885
318,-0.643561206
319,-0.9917749956
320,-0.4281554281
321,0.5291082655
322,0.9999122599
323,0.5514015339
324,-0.4040652195
325,-0.9880362735
326,-0.6636113342
327,0.2709348053
328,0.9563847343
329,0.7625389492
330,-0.1323816292
331,-0.9055911482
332,-0.8462043419
333,-0.0088211661
334,0.8366721491
335,0.9129329489
336,0.1498474057
337,-0.7510071513
338,-0.9613891968
339,-0.2878744485
340,0.6503107402
341,0.9906032334
342,0.4201396822
343,-0.5365983552
344,-0.9999903395
345,-0.5439958174
346,0.4121459505
347,0.9893626322
348,0.6569638725
349,-0.2794444418
350,-0.958932825
351,-0.7567827913
352,0.1411498507
353,0.9093099709
354,0.8414546974
355,-3.01443533594884E-05
356,-0.8414872715
357,-0.9092848819
358,-0.1410901653
359,0.7568221986
360,0.9589157234
361,0.2793865544
362,-0.6570093243
363,-0.9893538602
364,-0.4120910196
365,0.5440464039
366,0.9999900727
367,0.5365474803
368,-0.420194391
369,-0.9906114771
370,-0.6502649396
371,0.2879321846
372,0.9614057861
373,0.7509673416
374,-0.1499070135
375,-0.9129575517
376,-0.8366391272
377,0.0088814525
378,0.8462364657
379,0.905565575
380,0.1323218709
381,-0.7625779511
382,-0.9563671216
383,-0.2708767711
384,0.6636564336
385,0.9880269738
386,0.4040100708
387,-0.5514518281
388,-0.9999114594
389,-0.5290571063
390,0.4282099105
391,0.9917827104
392,0.6435150602
393,-0.2963973687
394,-0.9638034236
395,-0.7450930557
396,0.1586524314
397,0.9165336048
398,0.8317580087
399,-0.0177320647
400,-0.8509193596
401,-0.9017753195
402,-0.1235432094
403,0.7682739577
404,0.9537435912
405,0.2623457653
406,-0.6702515473
407,-0.9866226783
408,-0.395897469
409,0.5588140476
410,0.9997545059
411,0.5215252821
412,-0.436191881
413,-0.9928762402
414,-0.6367147631
415,0.3048393308
416,0.9661255499
417,0.7391603939
418,-0.1673854194
419,-0.9200378501
420,-0.8268117243
421,0.0265812877
422,0.8555355864
423,0.8979144125
424,0.1147548686
425,-0.7739097722
426,-0.9510453375
427,-0.2537942055
428,0.6767941486
429,0.9851410837
430,0.3877538496
431,-0.5661324856
432,-0.9995192244
433,-0.5139525978
434,0.444139677
435,0.993891981
436,0.6298645813
437,-0.3132574097
438,-0.9683719829
439,-0.7331698209
440,0.1761052933
441,0.9234700129
442,0.8218006615
443,-0.0354284282
444,-0.8600847844
445,-0.8939831563
446,-0.1059575371
447,0.779484953
448,0.9482725722
449,0.2452227616
450,-0.683283725
451,-0.983582306
452,-0.3795798509
453,0.5734065686
454,0.9992056334
455,0.5063396468
456,-0.4520526759
457,-0.9948298531
458,-0.6229650513
459,0.3216509457
460,0.9705425467
461,0.7271218061
462,-0.1848113697
463,-0.9268298245
464,-0.8167252129
465,0.0442727929
466,0.8645665971
467,0.8899818591
468,0.0971519042
469,-0.7849990634
470,-0.9454255123
471,-0.2366321052
472,0.6897197681
473,0.9819464674
474,0.3713761131
475,-0.5806357269
476,-0.9988137573
477,-0.4986870255
478,0.4599302577
479,0.9956897831
480,0.6160167138
481,-0.3300192813
482,-0.9726370711
483,-0.7210168233
484,0.1935029667
485,0.9301170215
486,0.8115857762
487,-0.053113689
488,-0.8689806734
489,-0.8859108342
490,-0.0883386596
491,0.7904516712
492,0.9425043809
493,0.2280229094
494,-0.6961017735
495,-0.980233696
496,-0.363143279
497,0.587819394
498,0.998343627
499,0.4909953335
500,-0.4677718053
501,-0.9964717036
502,-0.609020113
503,0.3383617608
504,0.9746553922
505,0.7148553508
506,-0.2021794033
507,-0.9333313465
508,-0.806382754
509,0.0619504237
510,0.8733266675
511,0.8817704008
512,0.079518494
513,-0.7958423494
514,-0.939509407
515,-0.2193958486
516,0.7024292412
517,0.9784441261
518,0.3548819937
519,-0.594957007
520,-0.9977952793
521,-0.4832651733
522,0.4755767043
523,0.9971755532
524,0.6019757973
525,-0.3466777306
526,-0.9765973517
527,-0.7086378715
528,0.2108399997
529,0.9364725475
530,0.8011165539
531,-0.0707823049
532,-0.877604239
533,-0.877560883
534,-0.0706920983
535,0.8011706756
536,0.9364408251
537,0.2107515987
538,-0.7087016757
539,-0.9765778978
540,-0.3465929044
541,0.6020480069
542,0.9971687571
543,0.4754971507
544,-0.4833443432
545,-0.997801277
546,-0.5948843184
547,0.3549665391
548,0.9784627976
549,0.7023648723
550,-0.2194840774
551,-0.9395403786
552,-0.7957875886
553,0.0796086404
554,0.8818130525
555,0.8732826109
556,0.0618601641
557,-0.8064362322
558,-0.9332988757
559,-0.202090837
560,0.7149185853
561,0.9746351573
562,0.3382766605
563,-0.6090918379
564,-0.9964641095
565,-0.4676918742
566,0.4910741134
567,0.9983488258
568,0.5877462319
569,-0.363227537
570,-0.9802515836
571,-0.6960368448
572,0.2281109591
573,0.9425345992
574,0.7903962755
575,-0.0884287388
576,-0.8859527785
577,-0.8689359194
578,-0.0530233833
579,0.8116386069
580,0.930083805
581,0.1934142421
582,-0.721079483
583,-0.9726160568
584,-0.3299339135
585,0.6160879484
586,0.9956813917
587,0.4598499554
588,-0.4987654093
589,-0.9988181568
590,-0.5805620972
591,0.3714600771
592,0.9819635696
593,0.6896542848
594,-0.236719969
595,-0.945454975
596,-0.7849430372
597,0.0972419091
598,0.8900230925
599,0.8645211493
600,0.0441824483
601,-0.8167773919
602,-0.9267958647
603,-0.1847224937
604,0.7271838861
605,0.9705207547
606,0.3215653171
607,-0.62303579
608,-0.9948206651
609,-0.4519720085
610,0.5064176283
611,0.9992092331
612,0.5733324771
613,-0.3796635143
614,-0.9835986216
615,-0.6832176923
616,0.2453104325
617,0.9483012769
618,0.7794283007
619,-0.1060474607
620,-0.8940236758
621,-0.8600386463
622,-0.0353380517
623,0.8218521846
624,0.9234353126
625,0.1760162728
626,-0.7332313165
627,-0.9683494149
628,-0.313171527
629,0.6299348185
630,0.993881997
631,0.444058651
632,-0.5140301709
633,-0.9995220242
634,-0.566057938
635,0.3878372059
636,0.9851566113
637,0.6767275716
638,-0.2538816766
639,-0.9510732821
640,-0.7738524982
641,0.1148447038
642,0.8979542147
643,0.8554887617
644,0.0264908865
645,-0.8268625876
646,-0.920002412
647,-0.1672962616
648,0.7392213002
649,0.9661022076
650,0.3047532008
651,-0.6367844934
652,-0.9928654611
653,-0.4361105026
654,0.5216024407
655,0.9997565055
656,0.5587390498
657,-0.3959805115
658,-0.9866374168
659,-0.6701844311
660,0.2624330298
661,0.9537707734
662,0.7682160665
663,-0.1236329491
664,-0.9018144015
665,-0.850871852
666,-0.0176416458
667,0.8318082082
668,0.9164974317
669,0.1585631431
670,-0.745153368
671,-0.963779309
672,-0.296310998
673,0.643584278
674,0.9917711369
675,0.4281281863
676,-0.5291338444
677,-0.9999126587
678,-0.551376386
679,0.4040927932
680,0.9880409219
681,0.6635887836
682,-0.2709638221
683,-0.9563935393
684,-0.7625194472
685,0.1324115082
686,0.9056039336
687,0.8461882788
688,0.0087910229
689,-0.8366886589
690,-0.9129206463
691,-0.1498176017
692,0.751027055
693,0.9613809009
694,0.2878455801
695,-0.6503336396
696,-0.9905991102
697,-0.4201123273
698,0.5366237919
699,0.9999904716
700,0.5439705234
701,-0.4121734154
702,-0.9893670168
703,-0.6569411457
704,0.2794733851
705,0.9589413745
706,0.7567630866
707,-0.1411796932
708,-0.9093225141
709,-0.8414384092
710,6.02887066915853E-05
711,0.8415035574
712,0.9092723362
713,0.1410603224
714,-0.7568419013
715,-0.9589071713
716,-0.2793576103
717,0.6570320493
718,0.9893494728
719,0.4120635536
720,-0.5440716964
721,-0.9999899379
722,-0.5365220422
723,0.4202217449
724,0.9906155976
725,0.6502420384
726,-0.2879610522
727,-0.9614140794
728,-0.7509474358
729,0.1499368171
730,0.9129698518
731,0.8366226151
732,-0.0089115956
733,-0.8462525265
734,-0.9055527872
735,-0.1322919915
736,0.762597451
737,0.956358314
738,0.2708477536
739,-0.6636789824
740,-0.9880223227
741,-0.403982496
742,0.5514769745
743,0.9999110579
744,0.529031526
745,-0.4282371512
746,-0.9917865664
747,-0.6434919864
748,0.2964261583
749,0.9638114601
750,0.7450729503
751,-0.1586821939
752,-0.9165456608
753,-0.8317412741
754,0.0177622043
755,0.850935194
756,0.9017622906
757,0.1235132959
758,-0.7682932534
759,-0.9537345287
760,-0.2623166767
761,0.6702739181
762,0.9866177637
763,0.3958697874
764,-0.5588390459
765,-0.9997538375
766,-0.5214995616
767,0.4362190063
768,0.9928798315
769,0.6366915186
770,-0.3048680403
771,-0.9661333289
772,-0.7391400904
773,0.1674151384
774,0.9200496611
775,0.8267947684
776,-0.0266114214
777,-0.8555511931
778,-0.8979011434
779,-0.1147249234
780,0.7739288621
781,0.9510360209
782,0.253765048
783,-0.6768163398
784,-0.9851359061
785,-0.3877260635
786,0.5661573337
787,0.9995182893
788,0.5139267392
789,-0.4441666848
790,-0.9938953072
791,-0.6298411677
792,0.3132860367
793,0.9683795038
794,0.733149321
795,-0.1761349664
796,-0.923481578
797,-0.8217834856
798,0.0354585536
799,0.8601001622
800,0.8939696482
801,0.1059275624
802,-0.7795038357
803,-0.9482630022
804,-0.2451935376
805,0.6833057347
806,0.9835768657
807,0.3795519624
808,-0.5734312648
809,-0.9992044316
810,-0.5063136521
811,0.4520795642
812,0.994832914
813,0.6229414706
814,-0.321679488
815,-0.9705498089
816,-0.7271011114
817,0.1848409947
818,0.9268411427
819,0.8167078184
820,-0.0443029077
821,-0.8645817448
822,-0.889968113
823,-0.0971219024
824,0.7850177374
825,0.9454156897
826,0.2366028169
827,-0.6897415946
828,-0.9819407649
829,-0.3713481244
830,0.5806602691
831,0.998812289
832,0.4986608967
833,-0.4599570244
834,-0.9956925784
835,-0.6159929678
836,0.3300477367
837,0.9726440741
838,0.7209959354
839,-0.1935325413
840,-0.930128092
841,-0.8115681645
842,0.0531437908
843,0.8689955898
844,0.8858968512
845,0.0883086331
846,-0.790470135
847,-0.9424943064
848,-0.2279935591
849,0.6961234151
850,0.9802277317
851,0.3631151924
852,-0.5878437803
853,-0.9983418923
854,-0.4909690727
855,0.4677984482
856,0.9964742331
857,0.6089962036
858,-0.338390127
859,-0.9746621354
860,-0.7148342714
861,0.2022089251
862,0.9333421684
863,0.8063649264
864,-0.0619805102
865,-0.8733413515
866,-0.8817561819
867,-0.0794884451
868,0.7958606016
869,0.9394990814
870,0.2193664386
871,-0.7024506963
872,-0.9784379005
873,-0.3548538113
